time,value,is_anomaly
1,61.2,0
2,57.4,0
3,55.9,0
4,67.3,0
5,73.3,0
6,64.2,0
7,60.4,0
8,57.3,0
9,55.8,0
10,55,0
11,55.8,0
12,55.7,0
13,59.5,0
14,55.6,0
15,54.1,0
16,57.8,0
17,57.8,0
18,57,0
19,66.1,0
20,65.3,0
21,60.7,0
22,57.7,0
23,57.7,0
24,58.4,0
25,57.6,0
26,59.1,0
27,59.8,0
28,59.1,0
29,74.3,0
30,66.7,0
31,63.6,0
32,84.1,0
33,94,0
34,76.5,0
35,68.2,0
36,63.6,0
37,62.9,0
38,66.7,0
39,63.6,0
40,59.8,0
41,58.3,0
42,57.6,0
43,57.6,0
44,59.1,0
45,59.1,0
46,57.6,0
47,56.9,0
48,56.1,0
49,55.3,0
50,55.3,0
51,61.3,0
52,61.3,0
53,58.9,0
54,57.3,0
55,57.8,0
56,55.3,0
57,54.3,0
58,54.2,0
59,52.5,0
60,52.4,0
61,51.6,0
62,53,0
63,52.2,0
64,51.4,0
65,50.6,0
66,50.6,0
67,49.8,0
68,49.8,0
69,49.8,0
70,50.5,0
71,49.8,0
72,50.5,0
73,49.8,0
74,49.7,0
75,50.5,0
76,51.2,0
77,49,0
78,48.2,0
79,47.4,0
80,48.2,0
81,51.2,0
82,62.6,0
83,77.8,0
84,83.9,0
85,75.6,0
86,80.9,0
87,77.1,0
88,70.2,0
89,64.9,0
90,59.6,0
91,60,0
92,60.8,0
93,70.7,0
94,66.6,0
95,69.9,0
96,72.3,0
97,72.3,0
98,67.4,0
99,63.3,0
100,61.7,0
101,59.3,0
102,57.6,0
103,56.8,0
104,56,0
105,54.4,0
106,54.4,0
107,54.4,0
108,54.4,0
109,55.3,0
110,54.5,0
111,55.3,0
112,54.5,0
113,54.5,0
114,54.5,0
115,52.1,0
116,51.3,0
117,52.1,0
118,52.1,0
119,49.7,0
120,50.5,0
121,51.3,0
122,51.4,0
123,49.7,0
124,48.9,0
125,48.1,0
126,44.9,0
127,45.7,0
128,45.7,0
129,44.9,0
130,44.1,0
131,43.3,0
132,43.3,0
133,41.7,0
134,41.7,0
135,41.7,0
136,40.9,0
137,40.1,0
138,40.1,0
139,40.1,0
140,39.3,0
141,38.5,0
142,38.5,0
143,37.7,0
144,37.7,0
145,36.9,0
146,36.9,0
147,36.9,0
148,37,0
149,36.2,0
150,35.4,0
151,36.2,0
152,65.4,0
153,35.4,0
154,35.4,0
155,38.7,0
156,41.2,0
157,38.7,0
158,38.8,0
159,37.9,0
160,37.1,0
161,36.3,0
162,36.3,0
163,41.3,0
164,40.5,0
165,40.5,0
166,40.5,0
167,40.5,0
168,40.5,0
169,39.7,0
170,40.5,0
171,43.8,0
172,43.8,0
173,43.9,0
174,43,0
175,42.2,0
176,40.6,0
177,38.1,0
178,38.1,0
179,38.1,0
180,38.1,0
181,38,0
182,38,0
183,37.9,0
184,37.7,0
185,37.5,0
186,37.3,0
187,37,0
188,36.9,0
189,36.7,0
190,37.3,0
191,36.5,0
192,36.4,0
193,36.3,0
194,35.3,0
195,35.3,0
196,35.2,0
197,34.3,0
198,36.7,0
199,36.6,0
200,36.6,0
201,36.5,0
202,36.5,0
203,36.4,0
204,35.5,0
205,36.3,0
206,36.3,0
207,36.2,0
208,35.4,0
209,35.3,0
210,36.1,0
211,36.8,0
212,38.5,0
213,38.5,0
214,38.5,0
215,38.4,0
216,38.4,0
217,38.4,0
218,38.4,0
219,38.3,0
220,38.3,0
221,37.5,0
222,37.4,0
223,36.6,0
224,37.4,0
225,37.4,0
226,37.3,0
227,34.9,0
228,36.5,0
229,40.6,0
230,40.6,0
231,38.1,0
232,38.1,0
233,38.1,0
234,36.5,0
235,35.6,0
236,35.6,0
237,35.6,0
238,34.8,0
239,36.5,0
240,36.5,0
241,34.8,0
242,34.8,0
243,37.3,0
244,35.7,0
245,34.9,0
246,35.7,0
247,38.2,0
248,37.5,0
249,39.2,0
250,45.5,0
251,43.5,0
252,43.5,0
253,42.8,0
254,41.3,0
255,41.4,0
256,41.6,0
257,40.9,0
258,41.1,0
259,42.1,0
260,43.9,0
261,44.1,0
262,43.5,0
263,42.9,0
264,43.1,0
265,41.7,0
266,40.2,0
267,39.6,0
268,39.7,0
269,39,0
270,38.4,0
271,38.5,0
272,40.2,0
273,43.6,0
274,69,0
275,71.7,0
276,55.3,0
277,50.4,0
278,48,0
279,47.2,0
280,46.3,0
281,46.3,0
282,47.1,0
283,47.1,0
284,47.9,0
285,47,0
286,47.8,0
287,48.5,0
288,57.5,0
289,60.8,0
290,53.3,0
291,49.2,0
292,68.9,0
293,84.4,0
294,59,0
295,52.4,0
296,51.6,0
297,56.5,0
298,51.5,0
299,51.5,0
300,55.6,0
301,56.4,0
302,52.3,0
303,53.9,0
304,50.6,0
305,49.8,0
306,49.8,0
307,50.6,0
308,49.7,0
309,52.2,0
310,57.1,0
311,54.6,0
312,57.1,0
313,57.1,0
314,57.1,0
315,56.2,0
316,56.2,0
317,60.3,0
318,60.3,0
319,62.7,0
320,61.9,0
321,59.4,0
322,57,0
323,57.8,0
324,57.8,0
325,54.5,0
326,52.8,0
327,52,0
328,51.2,0
329,51.2,0
330,51.2,0
331,52,0
332,60.2,0
333,58.5,0
334,58.5,0
335,60.2,0
336,58.5,0
337,59.3,0
338,64.2,0
339,62.6,0
340,63.4,0
341,71.6,0
342,66.7,0
343,64.2,0
344,56,0
345,51.1,0
346,51.1,0
347,50.3,0
348,51.9,0
349,50.3,0
350,50.3,0
351,46.2,0
352,47.8,0
353,51.9,0
354,55.2,0
355,58.5,0
356,57.7,0
357,54.4,0
358,53.5,0
359,57.5,0
360,56.8,0
361,58.5,0
362,54.4,0
363,51.9,0
364,51.1,0
365,50.3,0
366,52.8,0
367,0.6,0
368,0,0
369,-999,0
370,-999,0
371,-999,0
372,-999,0
373,-999,0
374,-999,0
375,-999,0
376,-999,0
377,-999,0
378,-999,0
379,-999,0
380,-999,0
381,-999,0
382,-999,0
383,-999,0
384,-999,0
385,-999,0
386,-999,0
387,-999,0
388,-999,0
389,-999,0
390,-999,0
391,-999,0
392,-999,0
393,-999,0
394,-999,0
395,-999,0
396,-999,0
397,49.9,0
398,0.7,0
399,0,0
400,-999,0
401,-999,0
402,-999,0
403,-999,0
404,-999,0
405,-999,0
406,-999,0
407,-999,0
408,-999,0
409,-999,0
410,-999,0
411,-999,0
412,-999,0
413,-999,0
414,-999,0
415,-999,0
416,-999,0
417,-999,0
418,-999,0
419,-999,0
420,-999,0
421,-999,0
422,-999,0
423,-999,0
424,-999,0
425,55.5,0
426,0.8,0
427,0,0
428,-999,0
429,-999,0
430,-999,0
431,-999,0
432,-999,0
433,-999,0
434,-999,0
435,-999,0
436,-999,0
437,-999,0
438,-999,0
439,-999,0
440,-999,0
441,-999,0
442,-999,0
443,-999,0
444,-999,0
445,-999,0
446,-999,0
447,-999,0
448,-999,0
449,-999,0
450,-999,0
451,-999,0
452,-999,0
453,-999,0
454,-999,0
455,-999,0
456,52.3,0
457,0.7,0
458,0,0
459,-999,0
460,-999,0
461,-999,0
462,-999,0
463,-999,0
464,-999,0
465,-999,0
466,-999,0
467,-999,0
468,-999,0
469,-999,0
470,-999,0
471,-999,0
472,-999,0
473,-999,0
474,-999,0
475,-999,0
476,-999,0
477,-999,0
478,-999,0
479,-999,0
480,-999,0
481,-999,0
482,-999,0
483,-999,0
484,-999,0
485,-999,0
486,46.4,0
487,0.6,0
488,0,0
489,-999,0
490,-999,0
491,-999,0
492,-999,0
493,-999,0
494,-999,0
495,-999,0
496,-999,0
497,-999,0
498,-999,0
499,-999,0
500,-999,0
501,-999,0
502,-999,0
503,-999,0
504,-999,0
505,-999,0
506,-999,0
507,-999,0
508,-999,0
509,-999,0
510,-999,0
511,-999,0
512,-999,0
513,-999,0
514,-999,0
515,-999,0
516,-999,0
517,37.2,0
518,0.7,0
519,0,0
520,-999,0
521,-999,0
522,-999,0
523,-999,0
524,-999,0
525,-999,0
526,-999,0
527,-999,0
528,-999,0
529,-999,0
530,-999,0
531,-999,0
532,-999,0
533,-999,0
534,-999,0
535,-999,0
536,-999,0
537,-999,0
538,-999,0
539,-999,0
540,-999,0
541,-999,0
542,-999,0
543,-999,0
544,-999,0
545,-999,0
546,-999,0
547,33.2,0
548,1,0
549,0,0
550,-999,0
551,-999,0
552,-999,0
553,-999,0
554,-999,0
555,-999,0
556,-999,0
557,-999,0
558,-999,0
559,-999,0
560,-999,0
561,-999,0
562,-999,0
563,-999,0
564,-999,0
565,-999,0
566,-999,0
567,-999,0
568,-999,0
569,-999,0
570,-999,0
571,-999,0
572,-999,0
573,-999,0
574,-999,0
575,-999,0
576,-999,0
577,-999,0
578,32.3,0
579,0.9,0
580,0,0
581,-999,0
582,-999,0
583,-999,0
584,-999,0
585,-999,0
586,-999,0
587,-999,0
588,-999,0
589,-999,0
590,-999,0
591,-999,0
592,-999,0
593,-999,0
594,-999,0
595,-999,0
596,-999,0
597,-999,0
598,-999,0
599,-999,0
600,-999,0
601,-999,0
602,-999,0
603,-999,0
604,-999,0
605,-999,0
606,-999,0
607,-999,0
608,-999,0
609,35.2,0
610,0.5,0
611,0,0
612,-999,0
613,-999,0
614,-999,0
615,-999,0
616,-999,0
617,-999,0
618,-999,0
619,-999,0
620,-999,0
621,-999,0
622,-999,0
623,-999,0
624,-999,0
625,-999,0
626,-999,0
627,-999,0
628,-999,0
629,-999,0
630,-999,0
