time,value,is_anomaly
1,61.2,0
2,57.4,0
3,55.9,0
4,67.3,0
5,73.3,0
6,64.2,0
7,60.4,0
8,57.3,0
9,55.8,0
10,55,0
11,55.8,0
12,55.7,0
13,59.5,0
14,55.6,0
15,54.1,0
16,57.8,0
17,57.8,0
18,57,0
19,66.1,0
20,65.3,0
21,60.7,0
22,57.7,0
23,57.7,0
24,58.4,0
25,57.6,0
26,59.1,0
27,59.8,0
28,59.1,0
29,74.3,0
30,66.7,0
31,63.6,0
32,84.1,0
33,94,0
34,76.5,0
35,68.2,0
36,63.6,0
37,62.9,0
38,66.7,0
39,63.6,0
40,59.8,0
41,58.3,0
42,57.6,0
43,57.6,0
44,59.1,0
45,59.1,0
46,57.6,0
47,56.9,0
48,56.1,0
49,55.3,0
50,55.3,0
51,61.3,0
52,61.3,0
53,58.9,0
54,57.3,0
55,57.8,0
56,55.3,0
57,54.3,0
58,54.2,0
59,52.5,0
60,52.4,0
61,51.6,0
62,53,0
63,52.2,0
64,51.4,0
65,50.6,0
66,50.6,0
67,49.8,0
68,49.8,0
69,49.8,0
70,50.5,0
71,49.8,0
72,50.5,0
73,49.8,0
74,49.7,0
75,50.5,0
76,51.2,0
77,49,0
78,48.2,0
79,47.4,0
80,48.2,0
81,51.2,0
82,62.6,0
83,77.8,0
84,83.9,0
85,75.6,0
86,80.9,0
87,77.1,0
88,70.2,0
89,64.9,0
90,59.6,0
91,60,0
92,60.8,0
93,70.7,0
94,66.6,0
95,69.9,0
96,72.3,0
97,72.3,0
98,67.4,0
99,63.3,0
100,61.7,0
