Date,"Aterno tre ponti - Idrometro - Val (m)","Aterno a L'Aquila - Idrometro - Val (m)","L'Aquila S. Elia - Termometro aria - Val (°C)","L'Aquila S. Elia - Pluviometro - Val (mm)","Pizzoli - Termometro aria - Val (°C)","Pizzoli - Pluviometro - Val (mm)"
"2023-05-18 00:00",,0.89,12.5,117.8,10.7,2171.0
"2023-05-18 00:15",,0.87,12.2,0.0,10.6,0.0
"2023-05-18 00:30",,0.88,12.0,0.0,10.4,0.0
"2023-05-18 00:45",,0.89,11.9,0.0,10.2,0.0
"2023-05-18 01:00",,0.86,11.9,0.0,10.0,0.0
"2023-05-18 01:15",,0.87,11.9,0.0,10.0,0.0
"2023-05-18 01:30",,0.85,11.8,0.0,9.9,0.0
"2023-05-18 01:45",,0.88,11.9,0.0,10.0,0.0
"2023-05-18 02:00",,0.87,11.8,0.0,10.1,0.0
"2023-05-18 02:15",,0.85,11.9,0.0,10.1,0.0
"2023-05-18 02:30",,0.84,11.9,0.0,10.2,0.0
"2023-05-18 02:45",,0.84,11.8,0.0,10.2,0.0
"2023-05-18 03:00",,0.85,11.8,0.0,10.2,0.0
"2023-05-18 03:15",,0.84,11.8,0.0,10.2,0.0
"2023-05-18 03:30",,0.83,11.8,0.0,10.2,0.0
"2023-05-18 03:45",,0.83,11.8,0.0,10.2,0.0
"2023-05-18 04:00",,0.83,11.8,0.0,10.2,0.0
"2023-05-18 04:15",,0.83,11.8,0.0,10.1,0.0
"2023-05-18 04:30",,0.81,11.8,0.0,9.9,0.0
"2023-05-18 04:45",,0.80,11.8,0.0,9.9,0.0
"2023-05-18 05:00",,0.80,11.8,0.0,10.0,0.0
"2023-05-18 05:15",,0.79,11.8,0.0,10.0,0.0
"2023-05-18 05:30",,0.80,11.8,0.0,10.1,0.0
"2023-05-18 05:45",,0.81,11.6,0.0,10.3,0.0
"2023-05-18 06:00",,0.78,11.6,0.0,10.6,0.0
"2023-05-18 06:15",,0.79,11.6,0.0,10.7,0.0
"2023-05-18 06:30",,0.78,11.8,0.0,11.0,0.0
"2023-05-18 06:45",,0.78,12.0,0.0,11.2,0.0
"2023-05-18 07:00",,0.78,12.5,0.0,11.6,0.0
"2023-05-18 07:15",,0.78,12.8,0.0,11.6,0.0
"2023-05-18 07:30",,0.77,13.2,0.0,11.7,0.0
"2023-05-18 07:45",,0.76,13.4,0.0,11.7,0.0
"2023-05-18 08:00",,0.76,13.6,0.0,11.6,0.0
"2023-05-18 08:15",,0.76,13.7,0.0,11.3,0.0
"2023-05-18 08:30",,0.75,13.9,0.0,11.9,0.0
"2023-05-18 08:45",,0.76,13.9,0.0,12.6,0.0
"2023-05-18 09:00",,0.74,14.8,0.0,13.0,0.0
"2023-05-18 09:15",,0.74,15.1,0.0,13.4,0.0
"2023-05-18 09:30",,0.74,15.5,0.0,14.1,0.0
"2023-05-18 09:45",,0.74,15.8,0.0,14.2,0.0
"2023-05-18 10:00",,0.73,15.9,0.0,15.0,0.0
"2023-05-18 10:15",,0.73,15.5,0.0,15.6,0.0
"2023-05-18 10:30",,0.73,15.2,0.0,15.6,0.0
"2023-05-18 10:45",,0.71,15.4,0.0,16.3,0.0
"2023-05-18 11:00",,0.71,15.4,0.0,16.8,0.0
"2023-05-18 11:15",,0.70,15.3,0.0,17.0,0.0
"2023-05-18 11:30",,0.72,15.8,0.0,17.1,0.0
"2023-05-18 11:45",,0.70,15.9,0.0,17.7,0.0
"2023-05-18 12:00",,0.71,15.9,0.0,20.2,0.0
"2023-05-18 12:15",,0.71,16.3,0.0,19.8,0.0
"2023-05-18 12:30",,0.71,16.5,0.0,18.8,0.0
"2023-05-18 12:45",,0.69,16.9,0.0,18.1,0.0
"2023-05-18 13:00",,0.71,17.2,0.0,16.9,0.0
"2023-05-18 13:15",,0.70,17.1,0.0,16.5,0.0
"2023-05-18 13:30",,0.70,16.5,0.0,16.2,0.0
"2023-05-18 13:45",,0.68,16.5,0.0,15.9,0.0
"2023-05-18 14:00",,0.68,16.4,0.0,15.6,0.0
"2023-05-18 14:15",,0.69,16.2,0.0,14.0,0.0
"2023-05-18 14:30",,0.68,16.4,0.0,13.8,0.0
"2023-05-18 14:45",,0.67,16.2,0.0,14.1,0.0
"2023-05-18 15:00",,0.67,16.7,0.0,14.4,0.0
"2023-05-18 15:15",,0.67,16.5,0.0,14.7,0.0
"2023-05-18 15:30",,0.68,16.5,0.0,14.9,0.0
"2023-05-18 15:45",,0.67,16.4,0.0,15.3,0.0
"2023-05-18 16:00",,0.67,16.2,0.0,15.4,0.0
"2023-05-18 16:15",,0.64,15.9,0.0,15.7,0.0
"2023-05-18 16:30",,0.67,15.9,0.0,15.1,0.0
"2023-05-18 16:45",,0.67,15.9,0.0,14.7,0.0
"2023-05-18 17:00",,0.67,15.5,0.0,14.6,0.0
"2023-05-18 17:15",,0.67,15.1,0.0,14.7,0.0
"2023-05-18 17:30",,0.67,14.9,0.0,14.3,0.0
"2023-05-18 17:45",,0.68,14.6,0.0,13.9,0.0
"2023-05-18 18:00",,0.67,14.2,0.0,13.6,0.0
"2023-05-18 18:15",,0.66,14.1,0.0,13.4,0.0
"2023-05-18 18:30",,0.67,13.9,0.0,13.2,0.0
"2023-05-18 18:45",,0.68,13.9,0.0,12.9,0.0
"2023-05-18 19:00",,0.66,13.8,0.0,12.8,0.0
"2023-05-18 19:15",,0.66,13.7,0.0,12.6,0.0
"2023-05-18 19:30",,0.66,13.7,0.0,12.5,0.0
"2023-05-18 19:45",,0.67,13.5,0.0,12.4,0.0
"2023-05-18 20:00",,0.67,13.4,0.0,12.3,0.0
"2023-05-18 20:15",,0.67,13.4,0.0,12.1,0.0
"2023-05-18 20:30",,0.67,13.2,0.0,12.0,0.0
"2023-05-18 20:45",,0.68,13.1,0.0,11.9,0.0
"2023-05-18 21:00",,0.68,13.0,0.0,11.9,0.0
"2023-05-18 21:15",,0.68,13.0,0.0,11.9,0.0
"2023-05-18 21:30",,0.67,13.0,0.0,11.8,0.0
"2023-05-18 21:45",,0.69,13.0,0.0,11.8,0.0
"2023-05-18 22:00",,0.68,12.9,0.0,11.7,0.0
"2023-05-18 22:15",,0.67,12.9,0.0,11.6,0.0
"2023-05-18 22:30",,0.68,12.8,0.0,11.6,0.0
"2023-05-18 22:45",,0.67,12.8,0.0,11.6,0.0
"2023-05-18 23:00",,0.68,12.7,0.0,11.5,0.0
"2023-05-18 23:15",,0.68,12.6,0.0,11.5,0.0
"2023-05-18 23:30",,0.67,12.4,0.0,11.5,0.0
"2023-05-18 23:45",,0.68,12.2,0.0,11.4,0.0
"2023-05-19 00:00",,0.66,12.2,0.0,11.4,0.0
"2023-05-19 00:15",,0.66,12.3,0.0,11.3,0.0
"2023-05-19 00:30",,0.67,12.3,0.0,11.3,0.0
"2023-05-19 00:45",,0.66,12.3,0.0,11.2,0.0
"2023-05-19 01:00",,0.67,12.2,0.0,11.1,0.0
"2023-05-19 01:15",,0.66,12.2,0.0,11.1,0.0
"2023-05-19 01:30",,0.64,12.2,0.0,11.1,0.0
"2023-05-19 01:45",,0.64,12.2,0.0,11.1,0.0
"2023-05-19 02:00",,0.65,12.3,0.0,11.0,0.0
"2023-05-19 02:15",,0.64,12.3,0.0,11.0,0.0
"2023-05-19 02:30",,0.64,12.3,0.0,11.0,0.0
"2023-05-19 02:45",,0.62,12.3,0.0,11.0,0.0
"2023-05-19 03:00",,0.63,12.2,0.0,11.0,0.0
"2023-05-19 03:15",,0.64,12.2,0.0,11.0,0.0
"2023-05-19 03:30",,0.63,12.2,0.0,11.0,0.0
"2023-05-19 03:45",,0.63,12.3,0.0,10.9,0.0
