time,value,is_anomaly
1,1.72,0
2,1.72,0
3,1.72,0
4,1.72,0
5,1.72,0
6,1.72,0
7,1.72,0
8,1.72,0
9,1.72,0
10,1.72,0
11,1.72,0
12,1.72,0
13,1.72,0
14,1.72,0
15,1.72,0
16,1.72,0
17,1.72,0
18,1.72,0
19,1.72,0
20,1.72,0
21,1.72,0
22,1.52,0
23,1.42,0
24,1.42,0
25,1.33,0
26,1.52,0
27,1.62,0
28,1.52,0
29,1.33,0
30,1.33,0
31,1.24,0
32,1.16,0
33,1,0
34,0.93,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1.09,0
40,0.93,0
41,0.93,0
42,0.93,0
43,1.09,0
44,1.09,0
45,1,0
46,0.93,0
47,1.09,0
48,1,0
49,0.93,0
50,1.52,0
51,0.85,0
52,0.85,0
53,0.62,0
54,0.62,0
55,0.62,0
56,0.62,0
57,0.62,0
58,0.62,0
59,0.55,0
60,1.52,0
61,1.33,0
62,1,0
63,0.4,0
64,0.4,0
65,1.09,0
66,0.62,0
67,0.4,0
68,1,0
69,0.62,0
70,0.7,0
71,0.62,0
72,0.62,0
73,0.48,0
74,0.78,0
75,0.62,0
76,0.62,0
77,0.55,0
78,0.48,0
79,0.48,0
80,0.4,0
81,0.4,0
82,0.4,0
83,0.4,0
84,0.48,0
85,0.4,0
86,0.4,0
87,0.62,0
88,0.56,0
89,0.56,0
90,0.5,0
91,0.55,0
92,0.55,0
93,0.55,0
94,0.4,0
95,0.4,0
96,0.4,0
97,0.4,0
98,0.38,0
99,0.38,0
100,0.4,0
