algorithm,roc_auc,pr_auc,,Ours,roc_auc,0.99227853,pr_auc,0.996806958
autoencoder,0.999335967,0.50298104,,,0.007057437,,-0.493825917,
baseline_increasing,0.600031492,0.704696208,,,-0.392247038,,-0.29211075,
baseline_normal,0.5,0.844214076,,,-0.49227853,,-0.152592882,
baseline_random,0.50608968,0.693416669,,,-0.48618885,,-0.303390289,
cblof,0.004858381,0.34966813,,,-0.987420148,,-0.647138827,
cof,0.145222999,0.351818356,,,-0.847055531,,-0.644988601,
copod,0.005911376,0.350096292,,,-0.986367154,,-0.646710666,
damp,0.314366365,0.586148006,,,-0.677912165,,-0.410658951,
donut,0.013889177,0.473982616,,,-0.978389353,,-0.522824341,
dspot,0.497835707,0.490930274,,,-0.494442822,,-0.505876684,
dwt_mlead,0.367991789,0.597522638,,,-0.624286741,,-0.39928432,
eif,0.005679907,0.350511544,,,-0.986598623,,-0.646295413,
fast_mcd,0.999336796,0.502984128,,,0.007058266,,-0.49382283,
fft,0.5,0.844622516,,,-0.49227853,,-0.152184441,
grammarviz3,0.598618028,0.704705232,,,-0.393660502,,-0.292101725,
hbos,0.003231992,0.349462568,,,-0.989046538,,-0.64734439,
hif,0.338903295,0.387826739,,,-0.653375235,,-0.608980219,
hybrid_knn,0.510291397,0.846840982,,,-0.481987133,,-0.149965975,
iforest,0.055307517,0.356269691,,,-0.936971012,,-0.640537267,
if_lof,0.079435546,0.350848683,,,-0.912842983,,-0.645958274,
img_embedding_cae,0.909373482,0.962060156,,,-0.082905048,,-0.034746802,
kmeans,0.09179657,0.462126158,,,-0.90048196,,-0.534680799,
knn,0.382836881,0.367735828,,,-0.609441649,,-0.62907113,
left_stampi,0.099297693,0.462888928,,,-0.892980837,,-0.53391803,
lof,0.432314706,0.382197112,,,-0.559963824,,-0.614609846,
lstm_vae,0.492647071,0.684414065,,,-0.499631459,,-0.312392893,
median_method,0.112721863,0.46452893,,,-0.879556666,,-0.532278027,
mstamp,0.105799789,0.469083477,,,-0.886478741,,-0.527723481,
multi_subsequence_lof,0.285322845,0.556656067,,,-0.706955685,,-0.440150891,
normalizing_flows,0.758577745,0.909767297,,,-0.233700785,,-0.08703966,
numenta_htm,0.496363628,0.512644371,,,-0.495914902,,-0.484162587,
pcc,0.999346789,0.502964796,,,0.007068259,,-0.493842161,
pci,0.110623497,0.496932906,,,-0.881655032,,-0.499874051,
phasespace_svm,0.224373171,0.540762993,,,-0.767905359,,-0.456043964,
random_black_forest,0.999378236,0.999196832,,,0.007099706,,0.002389875,
robust_pca,0.999346789,0.502964796,,,0.007068259,,-0.493842161,
sarima,0.125403653,0.529106704,,,-0.866874876,,-0.467700253,
sr_cnn,0.621205227,0.552243562,,,-0.371073303,,-0.444563396,
sr,0.133480247,0.509253861,,,-0.858798283,,-0.487553096,
subsequence_if,0.162955265,0.520353847,,,-0.829323264,,-0.47645311,
subsequence_knn,0.127381966,0.494552922,,,-0.864896564,,-0.502254035,
subsequence_lof,0.147961446,0.493618793,,,-0.844317083,,-0.503188165,
s_h_esd,0.430917729,0.382773509,,,-0.561360801,,-0.614033449,
ts_bitmap,0.536060303,0.692428733,,,-0.456218227,,-0.304378224,
