(pearson)
=====================================================
 #  	||  ref		brits	m-rnn	csdipy
=====================================================
58 	|| 	100		100		99		-1
116 	|| 	100		100		100		-13
174 	|| 	100		100		99		-1
232 	|| 	100		-32		99		-9
290 	|| 	100		NA		NA		NA
348 	|| 	100		NA		NA		NA
406 	|| 	100		NA		NA		NA
464 	|| 	100		NA		NA		NA
=====================================================


(spearman)
=====================================================
 #  	||  ref		brits	m-rnn	csdipy
=====================================================
58 	|| 	100		100		100		-1
116 	|| 	100		100		100		-12
174 	|| 	100		100		100		0
232 	|| 	100		-20		100		-10
290 	|| 	100		NA		NA		NA
348 	|| 	100		NA		NA		NA
406 	|| 	100		NA		NA		NA
464 	|| 	100		NA		NA		NA
=====================================================
=====================================================

